org_gray_value, org_count 
0, 0 
1, 0 
2, 0 
3, 0 
4, 0 
5, 0 
6, 0 
7, 0 
8, 0 
9, 0 
10, 0 
11, 0 
12, 0 
13, 0 
14, 0 
15, 0 
16, 0 
17, 0 
18, 0 
19, 0 
20, 0 
21, 0 
22, 0 
23, 0 
24, 0 
25, 0 
26, 0 
27, 1 
28, 4 
29, 7 
30, 10 
31, 16 
32, 20 
33, 24 
34, 42 
35, 44 
36, 85 
37, 79 
38, 102 
39, 144 
40, 177 
41, 227 
42, 270 
43, 327 
44, 414 
45, 480 
46, 502 
47, 571 
48, 526 
49, 564 
50, 554 
51, 556 
52, 578 
53, 514 
54, 488 
55, 456 
56, 390 
57, 370 
58, 311 
59, 307 
60, 274 
61, 263 
62, 278 
63, 250 
64, 233 
65, 193 
66, 243 
67, 219 
68, 226 
69, 227 
70, 199 
71, 227 
72, 219 
73, 230 
74, 235 
75, 248 
76, 244 
77, 222 
78, 238 
79, 260 
80, 238 
81, 233 
82, 261 
83, 218 
84, 246 
85, 228 
86, 257 
87, 271 
88, 257 
89, 284 
90, 280 
91, 299 
92, 292 
93, 345 
94, 338 
95, 357 
96, 387 
97, 450 
98, 510 
99, 598 
100, 577 
101, 529 
102, 496 
103, 476 
104, 463 
105, 436 
106, 376 
107, 371 
108, 340 
109, 339 
110, 344 
111, 328 
112, 317 
113, 336 
114, 310 
115, 357 
116, 386 
117, 380 
118, 399 
119, 377 
120, 421 
121, 425 
122, 485 
123, 449 
124, 512 
125, 508 
126, 621 
127, 598 
128, 673 
129, 661 
130, 636 
131, 591 
132, 553 
133, 483 
134, 447 
135, 447 
136, 458 
137, 466 
138, 505 
139, 544 
140, 587 
141, 557 
142, 603 
143, 624 
144, 626 
145, 652 
146, 612 
147, 547 
148, 530 
149, 522 
150, 520 
151, 558 
152, 644 
153, 650 
154, 697 
155, 694 
156, 683 
157, 638 
158, 634 
159, 537 
160, 501 
161, 483 
162, 405 
163, 360 
164, 359 
165, 354 
166, 348 
167, 312 
168, 294 
169, 301 
170, 275 
171, 299 
172, 312 
173, 339 
174, 301 
175, 316 
176, 329 
177, 328 
178, 277 
179, 272 
180, 195 
181, 215 
182, 172 
183, 187 
184, 153 
185, 146 
186, 150 
187, 175 
188, 160 
189, 159 
190, 188 
191, 197 
192, 214 
193, 223 
194, 237 
195, 239 
196, 243 
197, 208 
198, 196 
199, 207 
200, 213 
201, 203 
202, 219 
203, 218 
204, 230 
205, 207 
206, 260 
207, 252 
208, 265 
209, 249 
210, 233 
211, 232 
212, 244 
213, 206 
214, 166 
215, 139 
216, 94 
217, 92 
218, 85 
219, 77 
220, 42 
221, 54 
222, 43 
223, 27 
224, 24 
225, 15 
226, 15 
227, 12 
228, 4 
229, 6 
230, 4 
231, 1 
232, 3 
233, 1 
234, 0 
235, 0 
236, 0 
237, 0 
238, 0 
239, 0 
240, 0 
241, 0 
242, 0 
243, 0 
244, 0 
245, 0 
246, 0 
247, 0 
248, 0 
249, 0 
250, 0 
251, 0 
252, 0 
253, 0 
254, 0 
255, 0 
